reading_id,node_id,reading_type,reading_value,reading_time,reading_position
1,1,1,17.00,2023-05-01 00:00:08,1
2,1,1,16.80,2023-05-01 00:30:36,1
3,1,1,17.70,2023-05-01 01:02:34,1
4,1,1,18.10,2023-05-01 01:32:03,1
5,1,1,18.30,2023-05-01 02:03:51,1
6,1,1,18.10,2023-05-01 02:33:21,1
7,1,1,19.00,2023-05-01 03:00:45,1
8,1,1,19.10,2023-05-01 03:30:27,1
9,1,1,18.90,2023-05-01 04:00:25,1
10,1,1,18.50,2023-05-01 04:30:48,1
11,1,1,18.70,2023-05-01 05:06:18,1
12,1,1,17.70,2023-05-01 05:36:39,1
13,1,1,18.60,2023-05-01 06:09:44,1
14,1,1,18.40,2023-05-01 06:39:02,1
15,1,1,18.50,2023-05-01 07:08:53,1
16,1,1,19.00,2023-05-01 07:38:35,1
17,1,1,18.80,2023-05-01 08:07:57,1
18,1,1,18.10,2023-05-01 08:37:27,1
19,1,1,21.30,2023-05-01 09:01:22,1
20,1,1,20.20,2023-05-01 09:31:10,1
21,1,1,20.50,2023-05-01 10:00:29,1
22,1,1,21.10,2023-05-01 10:30:51,1
23,1,1,22.70,2023-05-01 11:01:28,1
24,1,1,21.90,2023-05-01 11:31:19,1
25,1,1,21.70,2023-05-01 12:09:52,1
26,1,1,21.40,2023-05-01 12:39:22,1
27,1,1,21.10,2023-05-01 13:05:30,1
28,1,1,20.90,2023-05-01 13:35:50,1
29,1,1,20.60,2023-05-01 14:00:26,1
30,1,1,20.30,2023-05-01 14:30:27,1
31,1,1,19.90,2023-05-01 15:02:20,1
32,1,1,19.40,2023-05-01 15:32:40,1
33,1,1,19.30,2023-05-01 16:00:59,1
34,1,1,19.00,2023-05-01 16:30:59,1
35,1,1,18.70,2023-05-01 17:07:43,1
36,1,1,18.30,2023-05-01 17:37:34,1
37,1,1,20.00,2023-05-01 18:04:39,1
38,1,1,19.90,2023-05-01 18:34:20,1
39,1,1,19.90,2023-05-01 19:05:07,1
40,1,1,19.50,2023-05-01 19:35:30,1
41,1,1,18.40,2023-05-01 20:03:52,1
42,1,1,17.20,2023-05-01 20:33:28,1
43,1,1,17.10,2023-05-01 21:00:49,1
44,1,1,16.70,2023-05-01 21:30:08,1
45,1,1,17.20,2023-05-01 22:08:45,1
46,1,1,16.60,2023-05-01 22:38:47,1
47,1,1,16.00,2023-05-01 23:02:39,1
48,1,1,15.70,2023-05-01 23:32:39,1
49,1,1,16.00,2023-05-02 00:05:40,1
50,1,1,15.70,2023-05-02 00:35:09,1
51,1,1,15.40,2023-05-02 01:09:35,1
52,1,1,15.50,2023-05-02 01:39:07,1
53,1,1,16.20,2023-05-02 02:04:31,1
54,1,1,16.30,2023-05-02 02:34:01,1
55,1,1,16.50,2023-05-02 03:04:23,1
56,1,1,17.10,2023-05-02 03:34:10,1
57,1,1,17.10,2023-05-02 04:08:22,1
58,1,1,16.80,2023-05-02 04:38:11,1
59,1,1,16.60,2023-05-02 05:06:24,1
60,1,1,17.20,2023-05-02 05:36:12,1
61,1,1,16.40,2023-05-02 06:08:10,1
62,1,1,16.60,2023-05-02 06:38:33,1
63,1,1,18.40,2023-05-02 07:04:59,1
64,1,1,18.40,2023-05-02 07:34:33,1
65,1,1,18.00,2023-05-02 08:02:55,1
66,1,1,18.90,2023-05-02 08:32:14,1
67,1,1,21.30,2023-05-02 09:02:33,1
68,1,1,21.40,2023-05-02 09:32:09,1
69,1,1,21.30,2023-05-02 10:08:43,1
70,1,1,21.50,2023-05-02 10:38:13,1
71,1,1,22.50,2023-05-02 11:03:31,1
72,1,1,23.20,2023-05-02 11:33:41,1
73,1,1,22.90,2023-05-02 12:09:28,1
74,1,1,22.50,2023-05-02 12:39:44,1
75,1,1,22.30,2023-05-02 13:04:54,1
76,1,1,22.00,2023-05-02 13:34:25,1
77,1,1,21.50,2023-05-02 14:03:54,1
