reading_id,node_id,reading_type,reading_value,reading_time,reading_position
1,1,1,17.00,Mon May 01 2023 00:00:08 GMT+1000 (Australian Eastern Standard Time),1
2,1,1,16.80,Mon May 01 2023 00:30:36 GMT+1000 (Australian Eastern Standard Time),1
3,1,1,17.70,Mon May 01 2023 01:02:34 GMT+1000 (Australian Eastern Standard Time),1
4,1,1,18.10,Mon May 01 2023 01:32:03 GMT+1000 (Australian Eastern Standard Time),1
5,1,1,18.30,Mon May 01 2023 02:03:51 GMT+1000 (Australian Eastern Standard Time),1
6,1,1,18.10,Mon May 01 2023 02:33:21 GMT+1000 (Australian Eastern Standard Time),1
7,1,1,19.00,Mon May 01 2023 03:00:45 GMT+1000 (Australian Eastern Standard Time),1
8,1,1,19.10,Mon May 01 2023 03:30:27 GMT+1000 (Australian Eastern Standard Time),1
9,1,1,18.90,Mon May 01 2023 04:00:25 GMT+1000 (Australian Eastern Standard Time),1
10,1,1,18.50,Mon May 01 2023 04:30:48 GMT+1000 (Australian Eastern Standard Time),1
11,1,1,18.70,Mon May 01 2023 05:06:18 GMT+1000 (Australian Eastern Standard Time),1
12,1,1,17.70,Mon May 01 2023 05:36:39 GMT+1000 (Australian Eastern Standard Time),1
13,1,1,18.60,Mon May 01 2023 06:09:44 GMT+1000 (Australian Eastern Standard Time),1
14,1,1,18.40,Mon May 01 2023 06:39:02 GMT+1000 (Australian Eastern Standard Time),1
15,1,1,18.50,Mon May 01 2023 07:08:53 GMT+1000 (Australian Eastern Standard Time),1
16,1,1,19.00,Mon May 01 2023 07:38:35 GMT+1000 (Australian Eastern Standard Time),1
17,1,1,18.80,Mon May 01 2023 08:07:57 GMT+1000 (Australian Eastern Standard Time),1
18,1,1,18.10,Mon May 01 2023 08:37:27 GMT+1000 (Australian Eastern Standard Time),1
19,1,1,21.30,Mon May 01 2023 09:01:22 GMT+1000 (Australian Eastern Standard Time),1
20,1,1,20.20,Mon May 01 2023 09:31:10 GMT+1000 (Australian Eastern Standard Time),1
21,1,1,20.50,Mon May 01 2023 10:00:29 GMT+1000 (Australian Eastern Standard Time),1
22,1,1,21.10,Mon May 01 2023 10:30:51 GMT+1000 (Australian Eastern Standard Time),1
23,1,1,22.70,Mon May 01 2023 11:01:28 GMT+1000 (Australian Eastern Standard Time),1
24,1,1,21.90,Mon May 01 2023 11:31:19 GMT+1000 (Australian Eastern Standard Time),1
25,1,1,21.70,Mon May 01 2023 12:09:52 GMT+1000 (Australian Eastern Standard Time),1
26,1,1,21.40,Mon May 01 2023 12:39:22 GMT+1000 (Australian Eastern Standard Time),1
27,1,1,21.10,Mon May 01 2023 13:05:30 GMT+1000 (Australian Eastern Standard Time),1
28,1,1,20.90,Mon May 01 2023 13:35:50 GMT+1000 (Australian Eastern Standard Time),1
29,1,1,20.60,Mon May 01 2023 14:00:26 GMT+1000 (Australian Eastern Standard Time),1
30,1,1,20.30,Mon May 01 2023 14:30:27 GMT+1000 (Australian Eastern Standard Time),1
31,1,1,19.90,Mon May 01 2023 15:02:20 GMT+1000 (Australian Eastern Standard Time),1
32,1,1,19.40,Mon May 01 2023 15:32:40 GMT+1000 (Australian Eastern Standard Time),1
33,1,1,19.30,Mon May 01 2023 16:00:59 GMT+1000 (Australian Eastern Standard Time),1
34,1,1,19.00,Mon May 01 2023 16:30:59 GMT+1000 (Australian Eastern Standard Time),1
35,1,1,18.70,Mon May 01 2023 17:07:43 GMT+1000 (Australian Eastern Standard Time),1
36,1,1,18.30,Mon May 01 2023 17:37:34 GMT+1000 (Australian Eastern Standard Time),1
37,1,1,20.00,Mon May 01 2023 18:04:39 GMT+1000 (Australian Eastern Standard Time),1
38,1,1,19.90,Mon May 01 2023 18:34:20 GMT+1000 (Australian Eastern Standard Time),1
39,1,1,19.90,Mon May 01 2023 19:05:07 GMT+1000 (Australian Eastern Standard Time),1
40,1,1,19.50,Mon May 01 2023 19:35:30 GMT+1000 (Australian Eastern Standard Time),1
41,1,1,18.40,Mon May 01 2023 20:03:52 GMT+1000 (Australian Eastern Standard Time),1
42,1,1,17.20,Mon May 01 2023 20:33:28 GMT+1000 (Australian Eastern Standard Time),1
43,1,1,17.10,Mon May 01 2023 21:00:49 GMT+1000 (Australian Eastern Standard Time),1
44,1,1,16.70,Mon May 01 2023 21:30:08 GMT+1000 (Australian Eastern Standard Time),1
45,1,1,17.20,Mon May 01 2023 22:08:45 GMT+1000 (Australian Eastern Standard Time),1
46,1,1,16.60,Mon May 01 2023 22:38:47 GMT+1000 (Australian Eastern Standard Time),1
47,1,1,16.00,Mon May 01 2023 23:02:39 GMT+1000 (Australian Eastern Standard Time),1
48,1,1,15.70,Mon May 01 2023 23:32:39 GMT+1000 (Australian Eastern Standard Time),1
49,1,1,16.00,Tue May 02 2023 00:05:40 GMT+1000 (Australian Eastern Standard Time),1
50,1,1,15.70,Tue May 02 2023 00:35:09 GMT+1000 (Australian Eastern Standard Time),1
51,1,1,15.40,Tue May 02 2023 01:09:35 GMT+1000 (Australian Eastern Standard Time),1
52,1,1,15.50,Tue May 02 2023 01:39:07 GMT+1000 (Australian Eastern Standard Time),1
53,1,1,16.20,Tue May 02 2023 02:04:31 GMT+1000 (Australian Eastern Standard Time),1
54,1,1,16.30,Tue May 02 2023 02:34:01 GMT+1000 (Australian Eastern Standard Time),1
55,1,1,16.50,Tue May 02 2023 03:04:23 GMT+1000 (Australian Eastern Standard Time),1
56,1,1,17.10,Tue May 02 2023 03:34:10 GMT+1000 (Australian Eastern Standard Time),1
57,1,1,17.10,Tue May 02 2023 04:08:22 GMT+1000 (Australian Eastern Standard Time),1
58,1,1,16.80,Tue May 02 2023 04:38:11 GMT+1000 (Australian Eastern Standard Time),1
59,1,1,16.60,Tue May 02 2023 05:06:24 GMT+1000 (Australian Eastern Standard Time),1
60,1,1,17.20,Tue May 02 2023 05:36:12 GMT+1000 (Australian Eastern Standard Time),1
61,1,1,16.40,Tue May 02 2023 06:08:10 GMT+1000 (Australian Eastern Standard Time),1
62,1,1,16.60,Tue May 02 2023 06:38:33 GMT+1000 (Australian Eastern Standard Time),1
63,1,1,18.40,Tue May 02 2023 07:04:59 GMT+1000 (Australian Eastern Standard Time),1
64,1,1,18.40,Tue May 02 2023 07:34:33 GMT+1000 (Australian Eastern Standard Time),1
65,1,1,18.00,Tue May 02 2023 08:02:55 GMT+1000 (Australian Eastern Standard Time),1
66,1,1,18.90,Tue May 02 2023 08:32:14 GMT+1000 (Australian Eastern Standard Time),1
67,1,1,21.30,Tue May 02 2023 09:02:33 GMT+1000 (Australian Eastern Standard Time),1
68,1,1,21.40,Tue May 02 2023 09:32:09 GMT+1000 (Australian Eastern Standard Time),1
69,1,1,21.30,Tue May 02 2023 10:08:43 GMT+1000 (Australian Eastern Standard Time),1
70,1,1,21.50,Tue May 02 2023 10:38:13 GMT+1000 (Australian Eastern Standard Time),1
71,1,1,22.50,Tue May 02 2023 11:03:31 GMT+1000 (Australian Eastern Standard Time),1
72,1,1,23.20,Tue May 02 2023 11:33:41 GMT+1000 (Australian Eastern Standard Time),1
73,1,1,22.90,Tue May 02 2023 12:09:28 GMT+1000 (Australian Eastern Standard Time),1
74,1,1,22.50,Tue May 02 2023 12:39:44 GMT+1000 (Australian Eastern Standard Time),1
75,1,1,22.30,Tue May 02 2023 13:04:54 GMT+1000 (Australian Eastern Standard Time),1
76,1,1,22.00,Tue May 02 2023 13:34:25 GMT+1000 (Australian Eastern Standard Time),1
77,1,1,21.50,Tue May 02 2023 14:03:54 GMT+1000 (Australian Eastern Standard Time),1
78,1,1,21.10,Tue May 02 2023 14:33:32 GMT+1000 (Australian Eastern Standard Time),1
79,1,1,20.80,Tue May 02 2023 15:03:54 GMT+1000 (Australian Eastern Standard Time),1
80,1,1,20.60,Tue May 02 2023 15:33:12 GMT+1000 (Australian Eastern Standard Time),1
81,1,1,20.30,Tue May 02 2023 16:04:50 GMT+1000 (Australian Eastern Standard Time),1
82,1,1,19.90,Tue May 02 2023 16:34:58 GMT+1000 (Australian Eastern Standard Time),1
83,1,1,19.60,Tue May 02 2023 17:02:54 GMT+1000 (Australian Eastern Standard Time),1
84,1,1,19.40,Tue May 02 2023 17:32:00 GMT+1000 (Australian Eastern Standard Time),1
85,1,1,18.60,Tue May 02 2023 18:04:39 GMT+1000 (Australian Eastern Standard Time),1
86,1,1,20.00,Tue May 02 2023 18:35:00 GMT+1000 (Australian Eastern Standard Time),1
87,1,1,19.60,Tue May 02 2023 19:08:23 GMT+1000 (Australian Eastern Standard Time),1
88,1,1,19.60,Tue May 02 2023 19:38:29 GMT+1000 (Australian Eastern Standard Time),1
89,1,1,17.30,Tue May 02 2023 20:05:43 GMT+1000 (Australian Eastern Standard Time),1
90,1,1,18.10,Tue May 02 2023 20:35:05 GMT+1000 (Australian Eastern Standard Time),1
91,1,1,17.70,Tue May 02 2023 21:05:36 GMT+1000 (Australian Eastern Standard Time),1
92,1,1,16.70,Tue May 02 2023 21:35:37 GMT+1000 (Australian Eastern Standard Time),1
93,1,1,17.20,Tue May 02 2023 22:04:46 GMT+1000 (Australian Eastern Standard Time),1
94,1,1,17.10,Tue May 02 2023 22:34:18 GMT+1000 (Australian Eastern Standard Time),1
95,1,1,16.40,Tue May 02 2023 23:02:56 GMT+1000 (Australian Eastern Standard Time),1
96,1,1,15.70,Tue May 02 2023 23:32:20 GMT+1000 (Australian Eastern Standard Time),1
97,1,1,15.10,Wed May 03 2023 00:01:33 GMT+1000 (Australian Eastern Standard Time),1
98,1,1,14.30,Wed May 03 2023 00:31:07 GMT+1000 (Australian Eastern Standard Time),1
99,1,1,13.40,Wed May 03 2023 01:05:01 GMT+1000 (Australian Eastern Standard Time),1
100,1,1,12.70,Wed May 03 2023 01:35:52 GMT+1000 (Australian Eastern Standard Time),1
101,1,1,13.30,Wed May 03 2023 02:00:39 GMT+1000 (Australian Eastern Standard Time),1
102,1,1,13.60,Wed May 03 2023 02:30:08 GMT+1000 (Australian Eastern Standard Time),1
103,1,1,13.40,Wed May 03 2023 03:06:38 GMT+1000 (Australian Eastern Standard Time),1
104,1,1,12.70,Wed May 03 2023 03:36:07 GMT+1000 (Australian Eastern Standard Time),1
105,1,1,12.00,Wed May 03 2023 04:02:00 GMT+1000 (Australian Eastern Standard Time),1
106,1,1,12.90,Wed May 03 2023 04:31:20 GMT+1000 (Australian Eastern Standard Time),1
107,1,1,13.70,Wed May 03 2023 05:08:35 GMT+1000 (Australian Eastern Standard Time),1
108,1,1,14.00,Wed May 03 2023 05:38:08 GMT+1000 (Australian Eastern Standard Time),1
109,1,1,13.30,Wed May 03 2023 06:04:42 GMT+1000 (Australian Eastern Standard Time),1
110,1,1,12.40,Wed May 03 2023 06:34:13 GMT+1000 (Australian Eastern Standard Time),1
111,1,1,19.70,Wed May 03 2023 07:08:59 GMT+1000 (Australian Eastern Standard Time),1
112,1,1,18.90,Wed May 03 2023 07:38:27 GMT+1000 (Australian Eastern Standard Time),1
113,1,1,19.00,Wed May 03 2023 08:04:31 GMT+1000 (Australian Eastern Standard Time),1
114,1,1,19.10,Wed May 03 2023 08:34:00 GMT+1000 (Australian Eastern Standard Time),1
115,1,1,20.20,Wed May 03 2023 09:07:00 GMT+1000 (Australian Eastern Standard Time),1
116,1,1,20.90,Wed May 03 2023 09:37:58 GMT+1000 (Australian Eastern Standard Time),1
117,1,1,20.50,Wed May 03 2023 10:07:58 GMT+1000 (Australian Eastern Standard Time),1
118,1,1,20.20,Wed May 03 2023 10:37:14 GMT+1000 (Australian Eastern Standard Time),1
119,1,1,23.20,Wed May 03 2023 11:07:48 GMT+1000 (Australian Eastern Standard Time),1
120,1,1,22.70,Wed May 03 2023 11:37:12 GMT+1000 (Australian Eastern Standard Time),1
121,1,1,22.20,Wed May 03 2023 12:01:09 GMT+1000 (Australian Eastern Standard Time),1
122,1,1,21.80,Wed May 03 2023 12:31:16 GMT+1000 (Australian Eastern Standard Time),1
123,1,1,21.50,Wed May 03 2023 13:04:32 GMT+1000 (Australian Eastern Standard Time),1
124,1,1,21.40,Wed May 03 2023 13:34:28 GMT+1000 (Australian Eastern Standard Time),1
125,1,1,21.30,Wed May 03 2023 14:09:49 GMT+1000 (Australian Eastern Standard Time),1
126,1,1,20.90,Wed May 03 2023 14:39:34 GMT+1000 (Australian Eastern Standard Time),1
127,1,1,20.80,Wed May 03 2023 15:09:14 GMT+1000 (Australian Eastern Standard Time),1
128,1,1,20.40,Wed May 03 2023 15:39:52 GMT+1000 (Australian Eastern Standard Time),1
129,1,1,20.10,Wed May 03 2023 16:04:31 GMT+1000 (Australian Eastern Standard Time),1
130,1,1,20.00,Wed May 03 2023 16:34:48 GMT+1000 (Australian Eastern Standard Time),1
131,1,1,19.70,Wed May 03 2023 17:08:25 GMT+1000 (Australian Eastern Standard Time),1
132,1,1,19.40,Wed May 03 2023 17:38:32 GMT+1000 (Australian Eastern Standard Time),1
133,1,1,19.30,Wed May 03 2023 18:04:57 GMT+1000 (Australian Eastern Standard Time),1
134,1,1,19.00,Wed May 03 2023 18:34:31 GMT+1000 (Australian Eastern Standard Time),1
135,1,1,15.10,Wed May 03 2023 19:02:31 GMT+1000 (Australian Eastern Standard Time),1
136,1,1,15.10,Wed May 03 2023 19:32:43 GMT+1000 (Australian Eastern Standard Time),1
137,1,1,18.50,Wed May 03 2023 20:07:42 GMT+1000 (Australian Eastern Standard Time),1
138,1,1,19.40,Wed May 03 2023 20:37:35 GMT+1000 (Australian Eastern Standard Time),1
139,1,1,19.20,Wed May 03 2023 21:02:31 GMT+1000 (Australian Eastern Standard Time),1
140,1,1,18.70,Wed May 03 2023 21:32:03 GMT+1000 (Australian Eastern Standard Time),1
141,1,1,18.10,Wed May 03 2023 22:08:08 GMT+1000 (Australian Eastern Standard Time),1
142,1,1,17.30,Wed May 03 2023 22:38:55 GMT+1000 (Australian Eastern Standard Time),1
143,1,1,17.70,Wed May 03 2023 23:08:42 GMT+1000 (Australian Eastern Standard Time),1
144,1,1,17.40,Wed May 03 2023 23:38:18 GMT+1000 (Australian Eastern Standard Time),1
145,1,1,17.60,Thu May 04 2023 00:07:07 GMT+1000 (Australian Eastern Standard Time),1
146,1,1,17.30,Thu May 04 2023 00:37:17 GMT+1000 (Australian Eastern Standard Time),1
147,1,1,17.40,Thu May 04 2023 01:00:45 GMT+1000 (Australian Eastern Standard Time),1
148,1,1,17.10,Thu May 04 2023 01:30:22 GMT+1000 (Australian Eastern Standard Time),1
149,1,1,16.90,Thu May 04 2023 02:04:30 GMT+1000 (Australian Eastern Standard Time),1
150,1,1,17.40,Thu May 04 2023 02:34:43 GMT+1000 (Australian Eastern Standard Time),1
151,1,1,16.60,Thu May 04 2023 03:09:48 GMT+1000 (Australian Eastern Standard Time),1
152,1,1,17.40,Thu May 04 2023 03:39:38 GMT+1000 (Australian Eastern Standard Time),1
153,1,1,17.60,Thu May 04 2023 04:04:48 GMT+1000 (Australian Eastern Standard Time),1
154,1,1,18.00,Thu May 04 2023 04:34:21 GMT+1000 (Australian Eastern Standard Time),1
155,1,1,17.40,Thu May 04 2023 05:06:35 GMT+1000 (Australian Eastern Standard Time),1
156,1,1,16.70,Thu May 04 2023 05:36:39 GMT+1000 (Australian Eastern Standard Time),1
157,1,1,17.30,Thu May 04 2023 06:08:10 GMT+1000 (Australian Eastern Standard Time),1
158,1,1,16.80,Thu May 04 2023 06:38:40 GMT+1000 (Australian Eastern Standard Time),1
159,1,1,19.40,Thu May 04 2023 07:04:07 GMT+1000 (Australian Eastern Standard Time),1
160,1,1,18.20,Thu May 04 2023 07:34:28 GMT+1000 (Australian Eastern Standard Time),1
161,1,1,17.60,Thu May 04 2023 08:07:07 GMT+1000 (Australian Eastern Standard Time),1
162,1,1,16.60,Thu May 04 2023 08:37:50 GMT+1000 (Australian Eastern Standard Time),1
163,1,1,20.00,Thu May 04 2023 09:06:39 GMT+1000 (Australian Eastern Standard Time),1
164,1,1,21.20,Thu May 04 2023 09:36:54 GMT+1000 (Australian Eastern Standard Time),1
165,1,1,21.10,Thu May 04 2023 10:01:05 GMT+1000 (Australian Eastern Standard Time),1
166,1,1,21.40,Thu May 04 2023 10:31:03 GMT+1000 (Australian Eastern Standard Time),1
167,1,1,22.50,Thu May 04 2023 11:01:17 GMT+1000 (Australian Eastern Standard Time),1
168,1,1,22.60,Thu May 04 2023 11:31:05 GMT+1000 (Australian Eastern Standard Time),1
169,1,1,22.10,Thu May 04 2023 12:04:06 GMT+1000 (Australian Eastern Standard Time),1
170,1,1,21.90,Thu May 04 2023 12:34:48 GMT+1000 (Australian Eastern Standard Time),1
171,1,1,21.50,Thu May 04 2023 13:06:37 GMT+1000 (Australian Eastern Standard Time),1
172,1,1,21.00,Thu May 04 2023 13:36:15 GMT+1000 (Australian Eastern Standard Time),1
173,1,1,20.50,Thu May 04 2023 14:04:40 GMT+1000 (Australian Eastern Standard Time),1
174,1,1,20.10,Thu May 04 2023 14:34:11 GMT+1000 (Australian Eastern Standard Time),1
175,1,1,19.80,Thu May 04 2023 15:08:43 GMT+1000 (Australian Eastern Standard Time),1
176,1,1,19.60,Thu May 04 2023 15:38:56 GMT+1000 (Australian Eastern Standard Time),1
177,1,1,19.40,Thu May 04 2023 16:00:01 GMT+1000 (Australian Eastern Standard Time),1
178,1,1,19.00,Thu May 04 2023 16:30:02 GMT+1000 (Australian Eastern Standard Time),1
179,1,1,18.70,Thu May 04 2023 17:02:52 GMT+1000 (Australian Eastern Standard Time),1
180,1,1,18.30,Thu May 04 2023 17:32:29 GMT+1000 (Australian Eastern Standard Time),1
181,1,1,19.80,Thu May 04 2023 18:01:03 GMT+1000 (Australian Eastern Standard Time),1
182,1,1,19.90,Thu May 04 2023 18:31:23 GMT+1000 (Australian Eastern Standard Time),1
183,1,1,19.50,Thu May 04 2023 19:06:32 GMT+1000 (Australian Eastern Standard Time),1
184,1,1,19.60,Thu May 04 2023 19:36:29 GMT+1000 (Australian Eastern Standard Time),1
185,1,1,18.10,Thu May 04 2023 20:09:14 GMT+1000 (Australian Eastern Standard Time),1
186,1,1,18.30,Thu May 04 2023 20:39:30 GMT+1000 (Australian Eastern Standard Time),1
187,1,1,18.20,Thu May 04 2023 21:02:53 GMT+1000 (Australian Eastern Standard Time),1
188,1,1,18.70,Thu May 04 2023 21:32:48 GMT+1000 (Australian Eastern Standard Time),1
189,1,1,18.00,Thu May 04 2023 22:03:11 GMT+1000 (Australian Eastern Standard Time),1
190,1,1,18.50,Thu May 04 2023 22:34:00 GMT+1000 (Australian Eastern Standard Time),1
191,1,1,18.60,Thu May 04 2023 23:09:26 GMT+1000 (Australian Eastern Standard Time),1
192,1,1,18.20,Thu May 04 2023 23:39:37 GMT+1000 (Australian Eastern Standard Time),1
